regime_type,transition_pair,count,avg_ret_1d,t_stat_1d,p_val_1d,avg_ret_3d,t_stat_3d,p_val_3d,avg_ret_5d,t_stat_5d,p_val_5d,avg_ret_10d,t_stat_10d,p_val_10d,avg_ret_20d,t_stat_20d,p_val_20d
trend,RANGE_BOUND -> UPTREND,18,0.003593,0.8655,0.3982,0.018214,2.6987,0.0148,0.019468,1.8588,0.0797,0.026913,0.9474,0.3564,0.033572,0.2216,0.8272
trend,UPTREND -> RANGE_BOUND,17,0.002177,0.2574,0.8,-0.001585,-1.129,0.2749,0.005618,-0.1826,0.8574,-0.002331,-1.227,0.2372,0.011534,-1.1007,0.2868
trend,DOWNTREND -> RANGE_BOUND,6,-0.004636,-0.8248,0.4468,-0.001631,-0.3986,0.7066,0.018043,0.6033,0.5725,0.042363,1.4667,0.2018,0.107666,2.4884,0.0549
trend,RANGE_BOUND -> DOWNTREND,6,-0.001284,-0.4292,0.6855,-0.002523,-0.7316,0.4969,0.008473,0.1366,0.8966,0.04662,1.7626,0.1376,0.130084,2.6222,0.0467
volatility,NORMAL -> HIGH,44,-1.9e-05,-0.5741,0.5687,0.000502,-0.9427,0.3507,-0.000303,-1.6739,0.1007,0.007897,-0.9895,0.3276,0.020995,-0.9567,0.3437
volatility,HIGH -> NORMAL,43,-7.5e-05,-0.5411,0.5911,-0.00038,-1.2041,0.2348,0.003621,-0.7644,0.4485,0.002911,-1.9648,0.0554,0.02197,-0.7431,0.4613
volatility,LOW -> NORMAL,6,0.00336,0.2551,0.8087,0.018925,0.833,0.4427,0.022115,0.7084,0.5102,0.04335,1.2497,0.2663,0.044478,0.6783,0.5272
volatility,NORMAL -> LOW,6,-0.000593,-0.329,0.7553,0.012813,0.9036,0.4072,0.02248,0.9206,0.3992,0.03835,1.0822,0.3282,0.044922,0.8081,0.4549
