regime_type,transition_pair,count,p_val_1d,p_val_3d,p_val_5d,p_val_10d,p_val_20d
trend,RANGE_BOUND -> UPTREND,18,0.3982,0.0148,0.0797,0.3564,0.8272
trend,UPTREND -> RANGE_BOUND,17,0.8,0.2749,0.8574,0.2372,0.2868
trend,DOWNTREND -> RANGE_BOUND,6,0.4468,0.7066,0.5725,0.2018,0.0549
trend,RANGE_BOUND -> DOWNTREND,6,0.6855,0.4969,0.8966,0.1376,0.0467
volatility,NORMAL -> HIGH,44,0.5687,0.3507,0.1007,0.3276,0.3437
volatility,HIGH -> NORMAL,43,0.5911,0.2348,0.4485,0.0554,0.4613
volatility,LOW -> NORMAL,6,0.8087,0.4427,0.5102,0.2663,0.5272
volatility,NORMAL -> LOW,6,0.7553,0.4072,0.3992,0.3282,0.4549
