,regime,n_bars,pct_time,sharpe,sortino,cagr,max_drawdown,win_rate,avg_return,total_return,contribution
vol_regime,EXTREME,154,0.1623,2.5241,82.8944,0.893789,-0.0089,0.3766,0.002667,0.47734,0.410737
vol_regime,HIGH,275,0.2898,2.9099,154.7486,0.896351,-0.004,0.3418,0.00264,1.010409,0.726021
vol_regime,LOW,155,0.1633,1.9286,190.9527,0.308416,-0.0024,0.3677,0.001106,0.179799,0.171433
vol_regime,NORMAL,365,0.3846,1.3364,54.1298,0.119167,-0.0027,0.3507,0.000461,0.177118,0.168285
trend_regime,DOWNTREND,348,0.3667,0.304,0.9724,0.0059,-0.017,0.3793,2.4e-05,0.008156,0.008395
trend_regime,RANGE_BOUND,229,0.2413,2.1652,132.5816,0.393283,-0.0018,0.2795,0.001364,0.351739,0.312409
trend_regime,STRONG_DOWNTREND,18,0.019,4.2007,7.6691,0.042802,-0.0015,0.6111,0.000167,0.002998,0.002997
trend_regime,STRONG_UPTREND,49,0.0516,3.1422,77.0151,0.204822,-0.0018,0.3673,0.000747,0.036896,0.036582
trend_regime,UPTREND,305,0.3214,3.2311,365.118,1.417232,-0.0022,0.3672,0.003659,1.910295,1.116093
