start,trough,end,depth_pct,duration_days,recovery_days,avg_leverage,avg_exposure,vol_regime,trend_regime,avg_forecast_error
2019-07-29,2019-10-02,2019-10-10,-1.0704,65,8,0.0293,9330.1716,HIGH,DOWNTREND,0.0
2019-12-06,2019-12-20,2020-01-20,-0.3952,14,31,0.0166,5736.6061,EXTREME,DOWNTREND,0.0
2019-03-14,2019-04-02,2019-04-17,-0.3135,19,15,0.0475,11065.9296,NORMAL,STRONG_UPTREND,0.0
2019-06-05,2019-06-19,2019-06-25,-0.2411,14,6,0.0301,8116.432,LOW,UPTREND,0.0
2021-07-20,2021-08-18,2021-08-23,-0.2296,29,5,0.0098,3963.7561,NORMAL,UPTREND,0.0
