start,trough,end,depth_pct,duration_days,recovery_days,avg_leverage,avg_exposure,vol_regime,trend_regime,avg_forecast_error
2021-05-10,2021-08-18,2021-08-23,-2.8859,100,5,0.1033,1148548.41,HIGH,DOWNTREND,0.0
2019-12-05,2019-12-20,2020-01-20,-1.9011,15,31,0.0881,204958.1148,EXTREME,DOWNTREND,0.0
2020-09-03,2021-01-06,2021-01-12,-1.3813,125,6,0.1233,710569.2934,NORMAL,DOWNTREND,0.0
2021-03-25,2021-04-15,2021-04-21,-1.3666,21,6,0.1172,1074695.2319,EXTREME,STRONG_UPTREND,0.0
2019-03-12,2019-04-02,2019-04-17,-1.2085,21,15,0.1842,161415.1576,NORMAL,STRONG_UPTREND,0.0
