,regime,n_bars,pct_time,sharpe,sortino,cagr,max_drawdown,win_rate,avg_return,total_return,contribution
vol_regime,EXTREME,154,0.1623,2.5632,55.9952,4.008798,-0.0138,0.2338,0.007264,1.676794,1.118659
vol_regime,HIGH,275,0.2898,2.8572,142.8669,5.595824,-0.014,0.2291,0.008449,6.835083,2.323528
vol_regime,LOW,155,0.1633,2.4977,159.025,3.204987,-0.0144,0.3742,0.006423,1.419161,0.995545
vol_regime,NORMAL,365,0.3846,1.6221,64.4091,0.991781,-0.0213,0.3397,0.003128,1.712847,1.14172
trend_regime,DOWNTREND,348,0.3667,0.8294,7.8141,0.15928,-0.019,0.3247,0.000655,0.226425,0.227855
trend_regime,RANGE_BOUND,229,0.2413,2.0687,69.0572,1.712297,-0.0088,0.2227,0.004466,1.476205,1.022741
trend_regime,STRONG_DOWNTREND,18,0.019,,,0.0,0.0,0.0,0.0,0.0,0.0
trend_regime,STRONG_UPTREND,49,0.0516,3.1904,254.2169,8.023785,-0.0077,0.3673,0.009769,0.533805,0.478677
trend_regime,UPTREND,305,0.3214,3.4014,277.9346,15.406379,-0.0198,0.3246,0.012624,28.549567,3.850179
