fold,train_start,train_end,test_start,test_end,elapsed_seconds,param_fast_period,param_slow_period,train_sharpe_ratio,train_sortino_ratio,train_max_drawdown_pct,train_max_drawdown_abs,train_cagr,train_calmar_ratio,train_annualised_volatility,train_win_rate,train_profit_factor,train_avg_trade_return,train_avg_win,train_avg_loss,train_num_trades,train_num_wins,train_num_losses,train_exposure,train_total_return_pct,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown_pct,test_max_drawdown_abs,test_cagr,test_calmar_ratio,test_annualised_volatility,test_win_rate,test_profit_factor,test_avg_trade_return,test_avg_win,test_avg_loss,test_num_trades,test_num_wins,test_num_losses,test_exposure,test_total_return_pct
0,2020-01-02,2020-07-29,2020-07-30,2020-11-11,3.277,15,30,-2.5517,-4.1463,-0.666,-672.52,0.005957,0.8944,0.013298,1.0,inf,382.4175,382.4175,0.0,1,1,0,,0.3541,-1.7003,-2.4569,-1.2291,-1244.94,0.001437,0.1169,0.022522,1.0,inf,71.0572,71.0572,0.0,1,1,0,,0.0428
1,2020-04-16,2020-11-11,2020-11-12,2021-02-24,3.354,20,30,-1.9742,-2.9999,-1.4538,-1474.04,-0.001395,-0.096,0.020864,0.3333,1.0006,0.0852,414.4567,-207.1006,3,1,2,,-0.0831,-1.7553,-2.1889,-0.9964,-1006.06,0.001359,0.1364,0.02187,,,,,,0,0,0,,0.0404
2,2020-07-30,2021-02-24,2021-02-25,2021-06-09,3.294,10,30,-2.4356,-3.2368,-2.8422,-2872.71,-0.017926,-0.6307,0.023784,0.3333,0.3897,-328.4227,629.0628,-807.1655,3,1,2,,-1.071,-0.1811,-0.3371,-0.3783,-379.18,0.037276,9.8536,0.015395,,,,,,0,0,0,,1.0952
3,2020-11-12,2021-06-09,2021-06-10,2021-09-22,3.49,25,50,0.4772,0.6436,-1.3261,-1356.7,0.054334,4.0973,0.028663,,,,,,0,0,0,,3.1995,,,0.0,0.0,0.0,,0.0,,,,,,0,0,0,,0.0
