start,trough,end,depth_pct,duration_days,recovery_days,avg_leverage,avg_exposure,vol_regime,trend_regime,avg_forecast_error
2019-07-29,2019-10-02,2019-10-10,-4.5739,65,8,0.1275,347012.765,HIGH,DOWNTREND,0.0
2019-12-05,2019-12-20,2020-01-20,-2.918,15,31,0.129,556947.4328,EXTREME,DOWNTREND,0.0
2021-05-10,2021-08-18,2021-08-23,-2.886,100,5,0.1033,2052041.0329,HIGH,DOWNTREND,0.0
2020-01-27,2020-03-27,2020-06-05,-1.6699,60,70,0.1049,551542.4891,NORMAL,DOWNTREND,0.0
2020-09-03,2021-01-06,2021-01-12,-1.3814,125,6,0.1233,1269535.3059,NORMAL,DOWNTREND,0.0
